scenario,exercise_style,method,random_generator,estimator_sample_count,main_path_count,pilot_path_count,total_path_count,price,sample_variance,standard_error,confidence_level,confidence_lower,confidence_upper,confidence_half_width,N_star_epsilon_alpha,N_star_path_equivalent,variance_reduction_factor,required_path_gain
balanced_2_assets,European,Basic pseudo-random,EcuyerCombined,3000,3000,0,3000,9.87489373623,184.840792901,0.248220864622,0.95,9.38838978097,10.3613976915,0.486503955263,11360.9327274,11360.9327274,1,1
balanced_2_assets,European,Quasi-random,HaltonQuasiRandom,3000,3000,0,3000,9.88987638303,187.160653278,0.249773666398,0.95,9.40032899221,10.3794237738,0.489547390822,11503.5190973,11503.5190973,0.987604978203,0.987604978203
balanced_2_assets,European,Quasi-random + control variate,HaltonQuasiRandom,3000,3000,700,3700,9.9285926901,27.0784327158,0.0950060221175,0.95,9.74238430828,10.1148010719,0.186208381815,1664.33094999,1664.33094999,6.82612597418,6.82612597418
balanced_2_assets,European,Quasi-random + control variate + antithetic,HaltonQuasiRandom,1500,3000,1400,4400,9.89831595121,8.08425546175,0.0734132388685,0.95,9.75442864692,10.0422032555,0.143887304287,496.885352038,993.770704076,22.8642939076,11.4321469538
balanced_2_assets,Bermudan,Basic pseudo-random,EcuyerCombined,3000,3000,0,3000,9.74185078,184.60295464,0.248061117899,0.95,9.25565992256,10.2280416374,0.486190857439,11346.3143931,11346.3143931,1,1
balanced_2_assets,Bermudan,Quasi-random,HaltonQuasiRandom,3000,3000,0,3000,9.99069603377,190.214347757,0.251803063098,0.95,9.4971710985,10.484220969,0.493524935267,11691.2093631,11691.2093631,0.970499632739,0.970499632739
balanced_2_assets,Bermudan,Quasi-random + control variate,HaltonQuasiRandom,3000,3000,700,3700,9.9528859982,28.8292548527,0.0980293405953,0.95,9.76075202105,10.1450199753,0.19213397715,1771.94232842,1771.94232842,6.40332036271,6.40332036271
balanced_2_assets,Bermudan,Quasi-random + control variate + antithetic,HaltonQuasiRandom,1500,3000,1400,4400,9.97689511766,7.75696111566,0.0719118029981,0.95,9.83595057361,10.1178396617,0.140944544053,476.768747961,953.537495922,23.7983601938,11.8991800969
mixed_weights_3_assets,European,Basic pseudo-random,EcuyerCombined,3000,3000,0,3000,5.6206437702,104.485331895,0.186623803318,0.95,5.25486783674,5.98641970365,0.365775933456,6422.01760779,6422.01760779,1,1
mixed_weights_3_assets,European,Quasi-random,HaltonQuasiRandom,3000,3000,0,3000,5.98231794978,113.957251705,0.194899334448,0.95,5.60032227335,6.36431362622,0.381995676436,7004.19344717,7004.19344717,0.916881816047,0.916881816047
mixed_weights_3_assets,European,Quasi-random + control variate,HaltonQuasiRandom,3000,3000,700,3700,5.90345805448,33.9325816671,0.106352529616,0.95,5.6950109266,6.11190518236,0.20844712788,2085.60984583,2085.60984583,3.07920372578,3.07920372578
mixed_weights_3_assets,European,Quasi-random + control variate + antithetic,HaltonQuasiRandom,1500,3000,1400,4400,5.96350205671,19.9465829485,0.115315748992,0.95,5.73748734165,6.18951677177,0.226014715058,1225.98363414,2451.96726829,5.23825720747,2.61912860373
mixed_weights_3_assets,Bermudan,Basic pseudo-random,EcuyerCombined,3000,3000,0,3000,5.60063644597,100.45941047,0.182993087729,0.95,5.24197658431,5.95929630763,0.358659861657,6174.57102548,6174.57102548,1,1
mixed_weights_3_assets,Bermudan,Quasi-random,HaltonQuasiRandom,3000,3000,0,3000,5.92205956472,111.95465442,0.193179238378,0.95,5.54343521463,6.3006839148,0.378624350086,6881.10712695,6881.10712695,0.897322322057,0.897322322057
mixed_weights_3_assets,Bermudan,Quasi-random + control variate,HaltonQuasiRandom,3000,3000,700,3700,5.90750158598,34.0143373396,0.106480573095,0.95,5.6988034975,6.11619967447,0.208698088487,2090.63482263,2090.63482263,2.95344311625,2.95344311625
mixed_weights_3_assets,Bermudan,Quasi-random + control variate + antithetic,HaltonQuasiRandom,1500,3000,1400,4400,5.99982228878,21.430276117,0.119527614988,0.95,5.76555246806,6.23409210951,0.234269820723,1317.17637363,2634.35274727,4.6877329028,2.3438664514
